ok  	github.com/jaresty/nn/cmd/nn	0.382s
ok  	github.com/jaresty/nn/cmd/nn/cmd	62.392s
ok  	github.com/jaresty/nn/internal/ast	1.764s
ok  	github.com/jaresty/nn/internal/attention	0.882s
ok  	github.com/jaresty/nn/internal/backend	0.357s
ok  	github.com/jaresty/nn/internal/backend/gitlocal	50.664s
ok  	github.com/jaresty/nn/internal/config	1.431s
ok  	github.com/jaresty/nn/internal/feedback	0.552s
ok  	github.com/jaresty/nn/internal/index	1.966s
ok  	github.com/jaresty/nn/internal/media	2.332s
ok  	github.com/jaresty/nn/internal/note	3.070s
ok  	github.com/jaresty/nn/internal/rules	2.179s
ok  	github.com/jaresty/nn/internal/trace	2.723s
?   	github.com/jaresty/nn/pi	[no test files]
?   	github.com/jaresty/nn/plugins	[no test files]
ok  	github.com/jaresty/nn/skills	2.071s
